구분별(1),구분별(2),2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020
구분별(1),구분별(2),사례수 (명),뉴스 (%),드라마 (%),스포츠 (%),시사/교양 (%),오락/연예 (%),이중에 없음 (%),사례수 (명),뉴스 (%),드라마 (%),스포츠 (%),시사/교양 (%),오락/연예 (%),이중에 없음 (%),사례수 (명),뉴스 (%),드라마 (%),스포츠 (%),시사/교양 (%),오락/연예 (%),이중에 없음 (%)
전체,소계,"1,565",22.5,32.6,25.9,11.4,67.4,3.1,"1,805",21.9,30.7,22.2,14.5,68.7,3.7,"2,175",27.8,37.2,21.8,18.9,69.8,5
성별,남자,842,27.9,18.8,41.3,10.2,62,3,956,25.2,20.4,36,19.2,64.1,3.9,"1,151",33.9,25.7,38.6,19.6,64.3,4.1
,여자,723,16.1,48.8,7.8,12.7,73.7,3.3,849,18.3,42.3,6.7,9.2,73.9,3.4,"1,024",20.9,50.2,2.8,18,76,5.9
연령,10대,193,7,35.6,15,7.5,89.8,1.5,300,4.8,20.2,17.7,3.6,84.4,2.4,257,19,43.8,11.9,2.9,91.2,7.1
,20대,516,17.7,38.4,24.8,9.2,76.6,3.4,506,13,39.5,19.7,7,82.8,2.7,528,15,45.6,22.6,14.6,80.4,4.7
,30대,393,21.2,28.9,25.9,13,67,3.2,431,24.7,33.5,23.2,18.3,67.6,5.5,467,29.1,37.5,25.8,19.8,71.4,3.8
,40대,288,29.3,31.7,35.6,12.6,52.8,1.8,302,36.2,32,27.2,23,51.6,1.7,442,33.6,39,23,25.8,61.4,3.6
,50대,133,41.4,20.9,25.9,16.7,42.8,6,198,35.2,20.8,26.9,25.9,50.3,4.3,325,38.5,24.2,23.3,24.4,54.8,4.1
,60대,36,58.3,26,17.2,12.6,32.5,7.1,56,45.5,17.1,20.5,22.8,27.5,11.8,126,40.6,18.7,17.5,27.7,46.7,10.6
,70세 이상,8,45.7,28.6,45.8,29.7,43,0,12,40.9,17.9,16.3,29.3,45.7,9.9,29,49.4,22.3,11.6,18.1,56.6,14.8
