,Title,Release Date,Series or Movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling
4112,Spinning Out,2020-01-01,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,spinningout
4113,The Circle,2017-04-28,Series,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thecircle
4114,Messiah,2020-01-01,Series,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,messiah
4134,Because This Is My First Life,2017-10-09,Series,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,becausethisismyfirstlife
4135,Live Up To Your Name,2017-08-12,Series,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,liveuptoyourname
4137,Ghost Stories,2018-04-20,Movie,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ghoststories
4138,Save Me,2017-08-05,Series,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,saveme
4145,Yanxi Palace  Princess Adventures,2019-12-31,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yanxipalaceprincessadventures
4146,The Neighbor,2016-09-16,Series,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,theneighbor
4147,ARASHIs Diary -Voyage-,1956-10-24,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arashisdiaryvoyage
4174,Robot Trains,2017-07-15,Series,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,robottrains
4175,Rainbow Ruby,2016-04-23,Series,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rainbowruby
4177,The Disastrous Life of Saiki K.  Reawakened,2019-12-30,Series,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thedisastrouslifeofsaikikreawakened
4178,Hot Gimmick  Girl Meets Boy,2019-06-28,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hotgimmickgirlmeetsboy
4179,The Secret Life of Pets 2,2019-06-07,Movie,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thesecretlifeofpets2
4182,The Gift,2019-01-11,Series,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thegift
4189,Penguin Highway,2019-04-12,Movie,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,penguinhighway
4197,The App,2019-12-26,Movie,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theapp
4198,The Bonfire of Destiny,2019-12-26,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,thebonfireofdestiny
4201,Sweetheart,2020-03-30,Movie,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,sweetheart
4203,Doom  Annihilation,2019-10-01,Movie,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,doomannihilation
4204,Jarhead  Law of Return,2019-10-01,Movie,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,jarheadlawofreturn
4210,My Punch-Drunk Boxer,2019-10-09,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,mypunchdrunkboxer
4216,The Mire,2018-08-18,Series,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,themire
4225,Back of the Net,2019-12-21,Movie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backofthenet
4229,The Two Popes,2019-12-20,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,thetwopopes
4230,The Witcher,2019-12-20,Series,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,thewitcher
4235,Agent,2019-06-20,Series,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,agent
4238,Honey and Clover,2005-04-14,Movie,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honeyandclover
4242,Twice Upon A Time,1983-08-05,Series,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twiceuponatime
4243,After the Raid,2019-12-19,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,aftertheraid
4254,Soundtrack,2019-12-18,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,soundtrack
4255,Dont F**k with Cats  Hunting an Internet Killer,2019-12-18,Series,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,dontfkwithcatshuntinganinternetkiller
4259,Ronny Chieng  Asian Comedian Destroys America!,2019-12-17,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ronnychiengasiancomediandestroysamerica
4262,The Trial,2019-11-29,Series,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thetrial
4276,The Vanished,2018-03-07,Movie,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,thevanished
4277,Christmas in August,1998-01-24,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christmasinaugust
4281,Isoken,2017-06-16,Movie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isoken
4290,Clarence,2014-11-30,Series,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,clarence
4291,Cocomong,2008-02-27,Series,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cocomong
4294,Potato Potahto,2019-12-15,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,potatopotahto
4295,Crash Landing on You,2019-12-14,Series,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,crashlandingonyou
4298,6 Underground,2019-12-13,Movie,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6underground
4304,Jack Whitehall  Christmas with My Father,2019-12-12,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,jackwhitehallchristmaswithmyfather
4311,The 9th Precinct,2019-08-29,Movie,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the9thprecinct
4313,Midsommar,2019-07-03,Movie,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,midsommar
4317,Weekly Idol,2011-07-23,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,weeklyidol
4321,Video Star,2021-06-01,Series,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,videostar
4326,Michelle Wolf  Joke Show,2019-12-10,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,michellewolfjokeshow
4336,The Promised Neverland,2019-04-13,Series,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,thepromisedneverland
4337,Good and Prosperous,2017-08-30,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,goodandprosperous
4340,A Family Reunion Christmas,2019-12-09,Movie,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,afamilyreunionchristmas
4349,Marriage Story,2019-12-06,Movie,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marriagestory
4350,Three Days of Christmas,2019-12-06,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,threedaysofchristmas
4351,Spirit Riding Free  Spirit of Christmas,2019-12-06,Movie,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spiritridingfreespiritofchristmas
4352,Virgin River,2019-12-06,Series,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,virginriver
4353,Triad Princess,2019-12-06,Series,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,triadprincess
4354,The Confession Killer,2019-12-06,Series,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,theconfessionkiller
4355,Glow Up,2019-03-06,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,glowup
4356,"Cheer Up, Mr. Lee",2019-09-11,Movie,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cheerupmrlee
4357,No Game No Life  Zero,2017-10-05,Movie,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nogamenolifezero
4362,A Christmas Prince  The Royal Baby,2019-12-05,Movie,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,achristmasprincetheroyalbaby
4363,Home for Christmas,2019-12-05,Series,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,homeforchristmas
4364,V Wars,2019-12-05,Series,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,vwars
4374,Tiffany Haddish  Black Mitzvah,2019-12-03,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tiffanyhaddishblackmitzvah
4383,The House with a Clock in Its Walls,2018-09-21,Movie,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thehousewithaclockinitswalls
4385,A Cinderella Story  Christmas Wish,2019-11-07,Movie,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,acinderellastorychristmaswish
4387,Dead Kids,2019-12-01,Movie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deadkids
4397,Sonic X,2003-08-23,Series,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sonicx
4402,Tee Shot  Ariya Jutanugarn,2019-08-15,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,teeshotariyajutanugarn
4403,Iron Fists and Kung-Fu Kicks,2019-12-01,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ironfistsandkungfukicks
4417,Chocolate,2019-02-16,Series,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chocolate
4419,I Lost My Body,2019-11-15,Movie,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ilostmybody
4420,Atlantics,2019-11-29,Movie,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,atlantics
4421,Sugar Rush Christmas,2019-11-29,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,sugarrushchristmas
4422,The Movies That Made Us,,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,themoviesthatmadeus
4427,50 First Kisses,2018-06-01,Movie,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50firstkisses
4431,Kalushi  The Story of Solomon Mahlangu,2017-03-10,Movie,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,kalushithestoryofsolomonmahlangu
4432,Lugar de Mulher,2019-11-28,Series,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lugardemulher
4433,Holiday Rush,2019-11-28,Movie,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,holidayrush
4434,Merry Happy Whatever,2019-11-28,Series,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,merryhappywhatever
4435,Mythomaniac,2019-10-03,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mythomaniac
4436,Levius,2019-11-28,Series,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,levius
4438,Mike Birbiglia  The New One,2019-11-26,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mikebirbigliathenewone
4447,The Irishman  In Conversation,2019-11-27,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,theirishmaninconversation
4448,Broken,,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,broken
4449,Zona Rosa,2005-10-15,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,zonarosa
4450,The Irishman,2019-11-27,Movie,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,theirishman
4451,Super Monsters Save Christmas,2019-11-26,Movie,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,supermonsterssavechristmas
4453,Movie Room,2014-04-07,Series,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,movieroom
4455,Legal High,2019-02-08,Series,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legalhigh
4456,Moment of Eighteen,2019-07-22,Series,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,momentofeighteen
4457,Be Melodramatic,2019-08-09,Series,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bemelodramatic
4458,The Wind Blows,2019-05-27,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thewindblows
4459,The Light in Your Eyes,2019-02-11,Series,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thelightinyoureyes
4460,Flower Crew Joseon Marriage,2019-09-16,Series,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,flowercrewjoseonmarriage
4461,Beautiful World,2019-04-05,Series,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,beautifulworld
4467,The Crime,2015-07-01,Series,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,thecrime
4468,Dino Girl Gauko,,Series,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dinogirlgauko
4469,Singapore Social,2019-11-22,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,singaporesocial
4470,Nobodys Looking,2007-07-28,Series,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,nobodyslooking
4471,Narcoworld  Dope Stories,2019-11-22,Series,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,narcoworlddopestories
4472,Dolly Partons Heartstrings,2019-11-22,Series,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,dollypartonsheartstrings
4478,The Knight Before Christmas,2019-11-21,Movie,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theknightbeforechristmas
4479,Mortel,2019-11-21,Series,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mortel
4485,After the Rain,2018-01-11,Movie,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aftertherain
4487,"Bikram  Yogi, Guru, Predator",2019-11-20,Movie,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bikramyogigurupredator
4488,Who Killed Little Gregory,2019-11-20,Series,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,whokilledlittlegregory
4489,Holiday Secrets,2019-11-20,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,holidaysecrets
4490,"Lorena, Light-Footed Woman",2019-11-20,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,lorenalightfootedwoman
4502,Bangkok Buddies,2019-08-27,Series,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bangkokbuddies
4503,Iliza Shlesinger  Unveiled,2019-11-19,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ilizashlesingerunveiled
4506,Candy Online,2019-11-16,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,candyonline
4508,Rosebud,2019-01-16,Movie,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rosebud
4512,The Club,2015-05-28,Series,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,theclub
4513,House Arrest,1996-08-14,Movie,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,housearrest
4514,Im with the Band  Nasty Cherry,1999-05-19,Series,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,imwiththebandnastycherry
4515,Earthquake Bird,2019-11-15,Movie,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,earthquakebird
4516,Klaus,2019-11-15,Movie,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,klaus
4524,Pripara,2016-03-27,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pripara
4527,Cherry Boys,2018-02-17,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cherryboys
4535,Nothing to Lose 2,2019-09-27,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nothingtolose2
4537,The Stranded,2019-11-15,Series,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,thestranded
4543,Maradona in Mexico,2019-11-13,Series,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,maradonainmexico
4544,Jeff Garlin  Our Man In Chicago,2019-11-12,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jeffgarlinourmaninchicago
4545,My Dear Warrior,,Series,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mydearwarrior
4548,Go Go Squid,2019-07-09,Series,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gogosquid
4552,Put Your Head on My Shoulder,2019-04-10,Series,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,putyourheadonmyshoulder
4560,Let It Snow,2019-11-08,Movie,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,letitsnow
4561,Paradise Beach,2019-02-20,Movie,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paradisebeach
4562,Green Eggs and Ham,2019-11-08,Series,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greeneggsandham
4563,Greatest Events of WWII in Colour,2019-11-08,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,greatesteventsofwwiiincolour
4575,Seth Meyers  Lobby Baby,2019-11-05,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sethmeyerslobbybaby
4578,Tune in for Love,2019-11-05,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tuneinforlove
4580,Voice,2019-06-30,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,voice
4584,The Devil Next Door,2019-11-04,Series,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,thedevilnextdoor
4596,Grego Rossello  Disculpe las molestias,2019-10-31,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gregorossellodisculpelasmolestias
4604,Fire in Paradise,2019-11-01,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fireinparadise
4605,Holiday in the Wild,2019-11-01,Movie,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,holidayinthewild
4606,American Son,2019-11-01,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,americanson
4608,True  Grabbleapple Harvest,2017-08-11,Movie,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,truegrabbleappleharvest
4610,Drive,2019-01-17,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drive
4611,The King,2019-11-01,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,theking
4614,The Man Without Gravity,2019-11-01,Movie,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,themanwithoutgravity
4615,We Are the Wave,2019-11-01,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wearethewave
4616,Queer Eye  Were in Japan!,2019-11-01,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,queereyewereinjapan
4617,Hache,2019-11-01,Series,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hache
4618,Hello Ninja,2019-11-01,Series,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,helloninja
4626,The Outlaws,2017-10-06,Movie,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theoutlaws
4629,Full Metal Panic! 1st Section - Boy Meets Girl,2017-11-25,Movie,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fullmetalpanic1stsectionboymeetsgirl
4636,Birthday,2001-10-18,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,birthday
4641,Nowhere Man,2019-10-31,Series,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nowhereman
4643,"Bring It On, Ghost",2016-07-11,Series,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bringitonghost
4644,Tomorrow with You,2017-02-03,Series,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tomorrowwithyou
4646,Tunnel,2019-03-11,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tunnel
4647,Arsenio Hall  Smart and Classy,2019-10-29,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arseniohallsmartandclassy
4654,Shine On with Reese,2018-07-17,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,shineonwithreese
4655,Little Miss Sumo,2019-10-28,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,littlemisssumo
4656,"Wait, My Youth",2019-03-19,Series,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,waitmyyouth
4658,A Little Thing Called First Love,2019-10-23,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alittlethingcalledfirstlove
4660,Dolemite Is My Name,2019-10-25,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,dolemiteismyname
4661,It Takes a Lunatic,2019-10-25,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ittakesalunatic
4662,Prank Encounters,2019-10-25,Series,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prankencounters
4663,Rattlesnake,2019-10-25,Movie,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,rattlesnake
4664,The Awakening of Motti Wolkenbruch,2019-10-25,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theawakeningofmottiwolkenbruch
4665,Nailed It! France,2019-10-25,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,naileditfrance
4666,Brotherhood,2019-12-06,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brotherhood
4667,Nailed It! Spain,2019-10-25,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,naileditspain
4671,Daybreak,2019-10-24,Series,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,daybreak
4674,Revenge of the Pontianak,2019-08-29,Movie,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,revengeofthepontianak
